Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-05 00:00:00-04:00,1178.0,1190.75,1173.0,1185.0,162613,0.0,0.0
2024-04-08 00:00:00-04:00,1187.75,1193.25,1180.5,1181.5,159389,0.0,0.0
2024-04-09 00:00:00-04:00,1181.5,1184.25,1172.0,1174.5,167029,0.0,0.0
2024-04-10 00:00:00-04:00,1174.75,1180.75,1163.0,1164.75,156535,0.0,0.0
2024-04-11 00:00:00-04:00,1163.75,1166.25,1151.0,1159.25,163734,0.0,0.0
2024-04-12 00:00:00-04:00,1158.5,1179.75,1154.0,1174.0,160130,0.0,0.0
2024-04-15 00:00:00-04:00,1173.25,1176.0,1155.5,1158.25,134465,0.0,0.0
2024-04-16 00:00:00-04:00,1157.25,1163.0,1143.25,1145.0,148376,0.0,0.0
2024-04-17 00:00:00-04:00,1145.0,1155.25,1141.75,1149.5,104230,0.0,0.0
2024-04-18 00:00:00-04:00,1149.0,1149.75,1133.0,1134.25,109349,0.0,0.0
2024-04-19 00:00:00-04:00,1134.0,1153.0,1131.75,1150.5,124590,0.0,0.0
2024-04-22 00:00:00-04:00,1147.75,1167.0,1144.5,1161.0,107395,0.0,0.0
2024-04-23 00:00:00-04:00,1161.0,1169.0,1158.0,1167.5,112266,0.0,0.0
2024-04-24 00:00:00-04:00,1166.5,1177.5,1164.0,1166.0,92302,0.0,0.0
2024-04-25 00:00:00-04:00,1164.75,1166.5,1150.5,1162.75,106684,0.0,0.0
2024-04-26 00:00:00-04:00,1162.25,1164.0,1155.0,1159.5,78879,0.0,0.0
2024-04-29 00:00:00-04:00,1158.5,1171.75,1157.0,1160.75,58269,0.0,0.0
2024-04-30 00:00:00-04:00,1158.75,1163.0,1141.0,1145.5,5743,0.0,0.0
2024-05-01 00:00:00-04:00,1145.0,1156.25,1141.0,1155.75,3404,0.0,0.0
